Internship Title,Company Name,Location,Start Date,Duration,Stipend,Payroll_Clean,Level,Internship_Title,Payroll_Level_Bucket,Skills,Skills_List
corporate sales,Across The Globe (ATG),Work From Home,Immediately,6 Months,"₹ 2,000-2,500 /month",2250.0,Senior,corporate sales,8 (Senior),"Negotiation, CRM, Lead Generation, Client Management, Reporting, Communication","['Negotiation', 'CRM', 'Lead Generation', 'Client Management', 'Reporting', 'Communication']"
product management,Saregama India Limited,Mumbai,Immediately,6 Months,"₹ 5,000-10,000 /month",7500.0,Senior,product management,15 (Senior),"Roadmap Planning, Stakeholder Management, Market Research, Product Analytics, UX/UI Understanding, Communication","['Roadmap Planning', 'Stakeholder Management', 'Market Research', 'Product Analytics', 'UX/UI Understanding', 'Communication']"
recruitment,Ozzone Group,Work From Home,Immediately,6 Months,"₹ 4,500 /month",4500.0,Senior,recruitment,18-17 (Senior),"Talent Sourcing, Interviewing, HR Software, Candidate Assessment, Employer Branding, Communication","['Talent Sourcing', 'Interviewing', 'HR Software', 'Candidate Assessment', 'Employer Branding', 'Communication']"
sales,Reliance Brands Limited,Chandigarh,Immediately,6 Months,"₹ 14,000 /month",14000.0,Junior,sales,16-12 (Junior),"CRM, Lead Generation, Customer Interaction, Communication","['CRM', 'Lead Generation', 'Customer Interaction', 'Communication']"
law/legal,Techolution,Work From Home,Immediately,6 Months,"₹ 15,000 /month",15000.0,Entry,law/legal,7-1 (Entry),"Documentation, Basic Legal Knowledge","['Documentation', 'Basic Legal Knowledge']"
search engine optimization (seo),CollegeDunia Web Private Limited,Work From Home,Immediately,6 Months,"₹ 15,000-20,000 /month",17500.0,Entry,search engine optimization (seo),9-1 (Entry),"SEO Basics, Keyword Research, Content Optimization","['SEO Basics', 'Keyword Research', 'Content Optimization']"
marketing,Shree Maruti Courier Service Private Limited,Sachin INA,Immediately,6 Months,"₹ 7,000-12,000 /month",9500.0,Junior,marketing,30-25 (Junior),"Marketing Strategy, Analytics, Campaign Management, Communication","['Marketing Strategy', 'Analytics', 'Campaign Management', 'Communication']"
sales,Across The Globe (ATG),Work From Home,Immediately,3 Months,"₹ 2,000-2,500 /month",2250.0,Elite,sales,23-22 (Elite),"Negotiation, CRM, Lead Generation, Strategic Selling, Client Management, Reporting, Communication","['Negotiation', 'CRM', 'Lead Generation', 'Strategic Selling', 'Client Management', 'Reporting', 'Communication']"
finance & accounting,MetrixLab,Hyderabad,Immediately,3 Months,"₹ 18,000 /month",18000.0,Entry,finance & accounting,2-1 (Entry),"Basic Accounting, Excel, Reporting","['Basic Accounting', 'Excel', 'Reporting']"
recruitment,Marpu Foundation,Work From Home,Immediately,3 Months,Unpaid,0.0,Elite,recruitment,19 (Elite),"Talent Sourcing, Interviewing, HR Software, Candidate Assessment, Employer Branding, Communication","['Talent Sourcing', 'Interviewing', 'HR Software', 'Candidate Assessment', 'Employer Branding', 'Communication']"
talent acquisition,Scaler Academy,Work From Home,Immediately,1 Week,"₹ 5,000-8,000 /month",6500.0,Junior,talent acquisition,8-5 (Junior),"Job Posting, Screening, Scheduling, Candidate Interaction, Communication","['Job Posting', 'Screening', 'Scheduling', 'Candidate Interaction', 'Communication']"
business development (sales),Urban Company,Bangalore,Immediately,1 Week,"₹ 18,000-25,000 /month",21500.0,Entry,business development (sales),27-1 (Entry),"Communication, Customer Interaction, Cold Calling, Record Keeping","['Communication', 'Customer Interaction', 'Cold Calling', 'Record Keeping']"
